iso3,anio,gran_sector,sector_codigo,sector_desc,empleo_miles,share_empleo,empleo_ponderado
ARG,1974,Servicios,JMN,Servicios empresariales,370.0194508448615,0.040390592,14.945304671138858
ARG,1974,Servicios,K,Finanzas,52.46419323102006,0.0057268878,0.30045654815157136
ARG,1974,Servicios,L,Servicios inmobiliarios,43.62925631297949,0.0047624838,0.20778362639661255
ARG,1974,Servicios,OPQ,"Administración pública, defensa, educación y salud",1395.548598374444,0.15233533,212.59135626440838
ARG,1974,Servicios,RSTU,Otros servicios,781.0681111182981,0.085259855,66.59375389906998
ARG,1975,Bienes,A,Agro y pesca,1385.265881148695,0.14959386,207.2272702873345
ARG,1975,Bienes,B,Petróleo y minería,26.06013911545952,0.0028142156,0.07333885003689639
ARG,1975,Bienes,C,Industria,1936.882681635625,0.20916256,405.1233401105723
ARG,1975,Bienes,DE,"Electricidad, gas y agua",198.7858746473112,0.021466743,4.267285283084045
ARG,1975,Bienes,F,Construcción,692.4936161156533,0.074781887,51.78597934858217
ARG,1975,Servicios,GI,"Comercio, hoteles y restaurantes",1465.23438417859,0.1582296,231.84345051482464
ARG,1975,Servicios,H,Transporte,635.8514518276446,0.068665139,43.66082832309702
ARG,1975,Servicios,JMN,Servicios empresariales,490.5254431554733,0.052971486,25.983861644753947
ARG,1975,Servicios,K,Finanzas,69.55045626839345,0.0075107035,0.5223728553216196
ARG,1975,Servicios,L,Servicios inmobiliarios,39.97246931976014,0.0043165982,0.1725450891152318
ARG,1975,Servicios,OPQ,"Administración pública, defensa, educación y salud",1487.194859835706,0.16060109,238.84511553201162
ARG,1975,Servicios,RSTU,Otros servicios,832.3611813947335,0.089886084,74.81768706918626
ARG,1976,Bienes,A,Agro y pesca,1295.422026682536,0.14030571,181.75510720333216
ARG,1976,Bienes,B,Petróleo y minería,25.3292493841213,0.0027433825,0.06948781949853415
ARG,1976,Bienes,C,Industria,1934.928287369153,0.20956992,405.50276638969035
ARG,1976,Bienes,DE,"Electricidad, gas y agua",191.4405712521994,0.020734712,3.9694651100298337
ARG,1976,Bienes,F,Construcción,825.221656348898,0.089378834,73.7573494360132
ARG,1976,Servicios,GI,"Comercio, hoteles y restaurantes",1533.742527228506,0.16611794,254.78214911359333
ARG,1976,Servicios,H,Transporte,594.4539389615505,0.064384639,38.27370226216746
ARG,1976,Servicios,JMN,Servicios empresariales,419.640160567099,0.045450754,19.072961706455718
ARG,1976,Servicios,K,Finanzas,59.49979770311933,0.0064443564,0.38343790212680234
ARG,1976,Servicios,L,Servicios inmobiliarios,38.27017229170802,0.0041449992,0.15862983353299193
ARG,1976,Servicios,OPQ,"Administración pública, defensa, educación y salud",1484.21320174942,0.16075346,238.5924075588973
ARG,1976,Servicios,RSTU,Otros servicios,830.6923910336035,0.089971364,74.73852748571467
ARG,1977,Bienes,A,Agro y pesca,1240.537542880016,0.13119039,162.746604060071
ARG,1977,Bienes,B,Petróleo y minería,25.91694962595196,0.0027407913,0.07103295005734739
ARG,1977,Bienes,C,Industria,1988.70830343234,0.21031158,418.24838545397483
ARG,1977,Bienes,DE,"Electricidad, gas y agua",194.0878927869269,0.020525347,3.983721347950471
ARG,1977,Bienes,F,Construcción,863.9396830320811,0.091364086,78.93305949935579
ARG,1977,Servicios,GI,"Comercio, hoteles y restaurantes",1627.145200828507,0.17207524,279.9914009474135
ARG,1977,Servicios,H,Transporte,585.0550290494658,0.061871238,36.19807894541641
ARG,1977,Servicios,JMN,Servicios empresariales,298.6376613002374,0.031581786,9.43151071072458
ARG,1977,Servicios,K,Finanzas,42.34313610471419,0.0044779074,0.18960864250250684
ARG,1977,Servicios,L,Servicios inmobiliarios,43.62925677395562,0.0046139183,0.2013018262447528
ARG,1977,Servicios,OPQ,"Administración pública, defensa, educación y salud",1632.386276306891,0.17262951,281.79804300958324
ARG,1977,Servicios,RSTU,Otros servicios,913.6226907007036,0.096618205,88.27258442277217
ARG,1978,Bienes,A,Agro y pesca,1231.21151277665,0.12836316,158.04220040839115
ARG,1978,Bienes,B,Petróleo y minería,26.02725960356512,0.0027135399,0.07062600742193213
ARG,1978,Bienes,C,Industria,2029.037581977367,0.21154261,429.22790587958116
