iso3,anio,gran_sector,sector_codigo,sector_desc,empleo_miles,share_empleo
ARG,1977,Servicios,JMN,Servicios empresariales,298.6376613002374,0.031581786
ARG,1977,Servicios,K,Finanzas,42.34313610471419,0.0044779074
ARG,1977,Servicios,L,Servicios inmobiliarios,43.62925677395562,0.0046139183
ARG,1977,Servicios,OPQ,"Administración pública, defensa, educación y salud",1632.386276306891,0.17262951
ARG,1977,Servicios,RSTU,Otros servicios,913.6226907007036,0.096618205
ARG,1978,Bienes,A,Agro y pesca,1231.21151277665,0.12836316
ARG,1978,Bienes,B,Petróleo y minería,26.02725960356512,0.0027135399
ARG,1978,Bienes,C,Industria,2029.037581977367,0.21154261
ARG,1978,Bienes,DE,"Electricidad, gas y agua",193.1283071391579,0.020135095
ARG,1978,Bienes,F,Construcción,820.7974196347346,0.085574374
ARG,1978,Servicios,GI,"Comercio, hoteles y restaurantes",1569.235299224448,0.16360472
ARG,1978,Servicios,H,Transporte,565.1428670767286,0.058920443
ARG,1978,Servicios,JMN,Servicios empresariales,457.5317553479907,0.047701169
ARG,1978,Servicios,K,Finanzas,64.8723583776383,0.0067634368
ARG,1978,Servicios,L,Servicios inmobiliarios,46.52946650646879,0.0048510511
ARG,1978,Servicios,OPQ,"Administración pública, defensa, educación y salud",1659.380911905937,0.17300309
ARG,1978,Servicios,RSTU,Otros servicios,928.7311928784376,0.096827291
ARG,1979,Bienes,A,Agro y pesca,1203.147702720417,0.12328099
ARG,1979,Bienes,B,Petróleo y minería,26.60331699114126,0.002725919
ARG,1979,Bienes,C,Industria,1980.559880082392,0.20293882
ARG,1979,Bienes,DE,"Electricidad, gas y agua",195.594288352405,0.020041645
ARG,1979,Bienes,F,Construcción,857.1167440131106,0.087824799
ARG,1979,Servicios,GI,"Comercio, hoteles y restaurantes",1605.822151135489,0.16454118
ARG,1979,Servicios,H,Transporte,555.6259780085747,0.056932427
ARG,1979,Servicios,JMN,Servicios empresariales,431.8778659512236,0.04425253
ARG,1979,Servicios,K,Finanzas,61.23495335104823,0.0062744631
ARG,1979,Servicios,L,Servicios inmobiliarios,50.24930160030317,0.0051488141
ARG,1979,Servicios,OPQ,"Administración pública, defensa, educación y salud",1789.823631321021,0.18339497
ARG,1979,Servicios,RSTU,Otros servicios,1001.738072453503,0.10264347
ARG,1980,Bienes,A,Agro y pesca,1171.340734056657,0.11967674
ARG,1980,Bienes,B,Petróleo y minería,27.15504266836285,0.0027744505
ARG,1980,Bienes,C,Industria,2028.401712508682,0.20724328
ARG,1980,Bienes,DE,"Electricidad, gas y agua",197.8216248143925,0.020211579
ARG,1980,Bienes,F,Construcción,997.465814956131,0.10191181
ARG,1980,Servicios,GI,"Comercio, hoteles y restaurantes",1631.874615653748,0.16672982
ARG,1980,Servicios,H,Transporte,545.5244276769414,0.055736627
ARG,1980,Servicios,JMN,Servicios empresariales,467.3591835218954,0.047750428
ARG,1980,Servicios,K,Finanzas,66.26576645254484,0.0067704218
ARG,1980,Servicios,L,Servicios inmobiliarios,56.4280101185966,0.0057652909
ARG,1980,Servicios,OPQ,"Administración pública, defensa, educación y salud",1665.65791339791,0.17018148
ARG,1980,Servicios,RSTU,Otros servicios,932.2443386796898,0.095248081
ARG,1981,Bienes,A,Agro y pesca,1158.498873435191,0.11777306
ARG,1981,Bienes,B,Petróleo y minería,27.38171043555505,0.0027836263
ARG,1981,Bienes,C,Industria,1878.229476229987,0.19094092
ARG,1981,Bienes,DE,"Electricidad, gas y agua",202.4686161677026,0.02058297
ARG,1981,Bienes,F,Construcción,940.3472244696644,0.095595755
ARG,1981,Servicios,GI,"Comercio, hoteles y restaurantes",1765.737177606693,0.17950495
ARG,1981,Servicios,H,Transporte,568.9410861182804,0.057838582
ARG,1981,Servicios,JMN,Servicios empresariales,557.5334502202996,0.056678884
ARG,1981,Servicios,K,Finanzas,79.05136499804983,0.0080363667
ARG,1981,Servicios,L,Servicios inmobiliarios,59.95889187333424,0.0060954243
